repo,base_sha,python,lock_kind,install_ok,collect_ok,collected_count,run_ok,passed,failed,errored,duration_s,failure_class,notes
omicverse/omicverse,c3d00678bd8ad72109f530092be7085c043636fd,3.12,pinned-requirements,0,0,0,0,0,0,0,14.0,no-lock,py from requires-python; install rc=40: requirements file is not fully pinned
crewAIInc/crewAI,4bc5d2924218e892bd0bc91b46352b49b0d3a740,3.13,uv.lock,1,0,6292,0,0,0,0,364.3,collection-error,py from .python-version; --all-extras --all-groups failed or timed out; retrying --all-groups; collect rc=2: pytest --collect-only did not succeed
ohdearquant/lionagi,f20337057a1c310e7f734361f76dbd86430e55f3,3.10,uv.lock,1,0,0,0,0,0,0,361.3,collection-error,py from .python-version; --all-extras --all-groups failed or timed out; retrying --all-groups; collect rc=1: pytest --collect-only did not succeed
openshift-eng/art-tools,827f6be926e036e5f8ad3d7ed499d90e37303565,3.12,uv.lock,0,0,0,0,0,0,0,15.5,python-version,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
Soju06/codex-lb,1d9332a32c3a62abdd1edd1d65b42b5eb4b1dacb,3.13,uv.lock,1,1,9162,1,749,1,0,435.9,tests-failed-at-base,py from requires-python
microsoft/apm,4633dbd505175aba7a0d829c44710edd0e15e5b4,3.12,uv.lock,1,1,30056,1,0,0,0,83.8,,py from requires-python; pytest-timeout absent; installing it into the venv
agentcage/agentcage,92dea6dda16dd3ed05a5e60a5649a17adb4bd601,3.12,uv.lock,1,1,2502,1,2488,0,0,53.3,,py from requires-python; pytest-timeout absent; installing it into the venv
Charli3-Official/charli3-dendrite,2bebe5ed6fa5b64e0888c5cd97932b0d09d3fbc7,3.12,poetry.lock,1,0,1127,0,0,0,0,40.9,collection-error,py from default; pytest-timeout absent; installing it into the venv; collect rc=2: pytest --collect-only did not succeed
OpenHands/software-agent-sdk,3a0a43c9e4533c718671327e65d2314de322d3a7,3.13,uv.lock,1,1,7770,1,66,0,1,191.7,tests-failed-at-base,py from .python-version
SenolIsci/mykg,02710e26faabd84e683ed9746e3c2c930bb3ab03,3.12,uv.lock,1,1,1332,1,6,1,0,29.1,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
