repo,pr,base_sha,merge_sha,merged_at,n_tests,n_f2p,n_p2p,n_unresolved,pr_verdict,unresolved_reason,cc_type,pr_trailer_kinds,base_is_merge_first_parent,unmatched_testish_files,changed_lines,test_files_new,test_files_modified,infra_changed,repo_trailer_kinds,duration_s
open-reaction-database/ord-data,262,7a9d0546585bae12b128312472428c3acad99377,1ca9e60cca24ed1e13b5006b707b4c992c762658,2026-08-02T01:32:00Z,0,0,0,0,UNRESOLVED,install_failed_base,,claude-code-gen;robot-gen,1,0,1410,1,0,0,claude-code-gen;robot-gen,2.9
open-reaction-database/ord-data,263,1ca9e60cca24ed1e13b5006b707b4c992c762658,01979ec78e5c1168c3b151714bd509352a8baf9b,2026-08-02T02:00:23Z,20,20,0,0,DISCRIMINATING,,,claude-code-gen;robot-gen,1,0,1510,1,0,0,claude-code-gen;robot-gen,17.0
djtelicloud/grok-mcp-server,508,765997fb36713c3c7e4880843b8d9ec723e67169,ffef9a64c45b51fe50331bae393da703432a2a4e,2026-07-19T01:57:02Z,18,15,3,0,DISCRIMINATING,,,claude-code-gen;robot-gen,1,0,323,1,0,0,claude-code-gen;copilot;robot-gen,16.6
open-reaction-database/ord-data,266,01979ec78e5c1168c3b151714bd509352a8baf9b,13c6895981a636d1b770a8751aa77cc484e77b83,2026-08-02T02:14:50Z,40,13,27,0,DISCRIMINATING,,,claude-code-gen;robot-gen,1,0,167,0,1,0,claude-code-gen;robot-gen,24.0
djtelicloud/grok-mcp-server,500,a99b521b463adbc55537e054c2cd01a955e1f534,e08ca3f43d6f6d9ebf68c1ec4ab3229b06fe3b59,2026-07-18T17:19:59Z,19,6,13,0,DISCRIMINATING,,,claude-code-gen;robot-gen,1,0,359,0,1,0,claude-code-gen;copilot;robot-gen,17.2
Ishannaik/agent-sweep,12,a5855814131ca13dfd9fc65b065bb9ed744011fb,30fd43359c43d760c9d05087c072290a6984bd8b,2026-07-08T17:27:18Z,7,7,0,0,DISCRIMINATING,,,claude-code-gen;robot-gen,1,0,250,1,0,0,claude-code-gen;robot-gen,12.6
Ishannaik/agent-sweep,3,1cee030531095d349a58cffc651d29dc8eae73c9,3d9fce90bbbad389d944f808e47aa0af3b4603eb,2026-06-12T11:53:37Z,0,0,0,0,UNRESOLVED,install_failed_base,fix,claude-code-gen;robot-gen,0,0,561,1,0,0,claude-code-gen;robot-gen,3.4
djtelicloud/grok-mcp-server,33,6b152fa016e7f4a5d74c15ff25f19e93e5df2b17,d503bf30a9b8d7f3708983b830eef13fd5e03568,2026-07-12T12:14:33Z,54,4,50,0,DISCRIMINATING,,,copilot,1,0,157,0,1,0,claude-code-gen;copilot;robot-gen,23.4
Ishannaik/agent-sweep,2,885c06a161392460b3d1bb6c089e8ae3e2991830,96e3cc6ec2c47cb65f81ca05e0cf7952a2a22e54,2026-06-12T06:27:18Z,0,0,0,0,UNRESOLVED,install_failed_base,fix,claude-code-gen;robot-gen,1,0,415,1,0,0,claude-code-gen;robot-gen,3.2
Ishannaik/agent-sweep,7,88817e3b2112936d9b76f59982f677961add8a32,b96faa9010bde0c4dcea27a4e448fbb2fcf5acd4,2026-06-13T04:52:37Z,6,6,0,0,DISCRIMINATING,,fix,claude-code-gen;robot-gen,0,0,226,1,0,0,claude-code-gen;robot-gen,10.6
commit-check/commit-check,534,98fb97c5893c5b0c21ff449affaa13d116e2d225,08d14c188a91e709b601ad5b05340c68e40228b9,2026-08-07T09:23:07Z,164,3,161,0,DISCRIMINATING,,fix,claude-code-gen;robot-gen,1,0,89,0,1,0,claude-coauthor;claude-code-gen;codex;copilot;cursor;robot-gen,20.4
commit-check/commit-check,540,61bd9941668c15bdb42785382ed91b82da533484,a90e8c8d62572f0e39664492aa366dc1fdc3f481,2026-08-08T18:46:02Z,208,23,185,0,DISCRIMINATING,,feat,claude-code-gen;robot-gen,1,0,240,0,1,0,claude-coauthor;claude-code-gen;codex;copilot;cursor;robot-gen,22.6
commit-check/commit-check,537,90c5abe941f9758b55922057b28b95d946d389ff,16d328f171b59add0288705d142dbf5d3748da6d,2026-08-07T11:07:06Z,211,18,193,0,DISCRIMINATING,,feat,claude-code-gen;robot-gen,1,0,393,0,2,0,claude-coauthor;claude-code-gen;codex;copilot;cursor;robot-gen,23.4
commit-check/commit-check,506,b75ec1c1280215b3c9a9d734732191bacb4b9df8,d534a3f5165ac6503952b2aefa7ddc32cbb1d757,2026-07-31T22:28:15Z,38,2,36,0,DISCRIMINATING,,fix,claude-coauthor,1,0,47,0,1,0,claude-coauthor;claude-code-gen;codex;copilot;cursor;robot-gen,21.2
commit-check/commit-check,532,e2edc16a9399d5b3946afa5953200cc01f493949,98fb97c5893c5b0c21ff449affaa13d116e2d225,2026-08-07T07:01:57Z,161,3,157,1,DISCRIMINATING,,fix,claude-code-gen;robot-gen,1,0,235,0,1,0,claude-coauthor;claude-code-gen;codex;copilot;cursor;robot-gen,23.9
TeichAI/teich,26,1d7ba7c95c8c34b6f66862ea35b79afab05e00d9,dbd804ce482bd8d2dd0283a4dc995ead44529e49,2026-07-10T07:05:01Z,37,3,34,0,DISCRIMINATING,,,claude-code-gen;robot-gen,1,0,175,0,1,0,claude-code-gen;robot-gen,36.3
